codigo,descripcion
1,Patrón(a) o empleador(a)
2,Trabajador(a) por cuenta propia
3,Empleado(a) u obrero(a) del sector público (Gobierno Central o Municipal)
4,Empleado(a) u obrero(a) de empresas públicas
5,Empleado(a) u obrero(a) del sector privado
6,Servicio doméstico puertas adentro
7,Servicio doméstico puertas afuera
8,FF.AA. y del Orden
9,Familiar no remunerado
